Key,English,Spanish,French,German,Russian,Japanese,Korean,Portuguese,Vietnamese,Indonesian,ChineseSimplified,ChineseTraditional
ENDLESS_MODE,ENDLESS MODE,MODO SIN FIN,MODE SANS FIN,ENDLOSER MODUS,БЕСКОНЕЧНЫЙ РЕЖИМ,無限モード,무한 모드,MODO CONTÍNUO,CHẾ ĐỘ LIÊN TỤC,MODE TANPA AKHIR,循环模式,無限模式
ROUND,ROUND,RONDA,ROUND,RUNDE,РАУНД,ラウンド,라운드,RODADA,VÒNG,RONDE,回合,回合
ReviveFree,Revive for free,Revive gratis,Réanimer gratuitement,Kostenlos wiederbeleben lassen,Восстанови бесплатно,無料で復活,무료로 부활,Reviver gratuitamente,Hồi sinh miễn phí,Bangkitkan secara gratis,免费重播,免費復活
ReviveNow,Revive now,Revive ahora,Réanimer maintenant,Jetzt wiederbeleben lassen,Восстанови сейчас,今すぐ復活,지금 부활,Reviver agora,Hồi sinh ngay!,Bangkitkan sekarang,现在重播,立即復活
DontGiveUp,Don't give up now.,No abandones ahora.,N'abandonnez pas maintenant.,Geben Sie jetzt nicht auf.,Не сдавайся сейчас.,今あきらめたらだめ。,지금 포기하지 마세요.,Não desista agora.,Đừng từ bỏ lúc này!,Jangan menyerah sekarang.,现在别放弃。,別放棄。
ReceivedMisteryBox,You received a mistery box!,¡Has recibido una caja misteriosa!,Vous avez reçu une boîte mystère !,Sie haben eine geheimnisvolle Kiste erhalten!,Получен тайный сундук!,ミステリーボックスを受け取りました！,미스터리 박스를 받았어요!,Você recebeu uma caixa misteriosa!,Bạn nhận được hộp quà bí mật!,Anda menerima kotak misteri!,你得到了神秘盒子！,您獲得了神祕箱！
NearGetThreeStar,Near to get three stars!,¡A punto de conseguir la tercera estrella!,Vous êtes sur le point d'obtenir trois étoiles,"Sie stehen kurz davor, drei Sterne zu erreichen!","Подойди, чтобы получить три звезды!",もう少しで星3つゲット！,별 3개를 받기 직전이에요!,Você está prestes a conseguir 3 estrelas!,Sắp đạt được 3 sao!,Hampir mendapat tiga bintang!,即将得到三颗星！,接近獲得三顆星！
Miss,Miss,Fallo,Raté,Daneben,Промах,はずれ,실수,Quase,Bỏ lỡ,Luput,错过,失誤
Good,Good,Bien,Bien,Gut,Хорошо,よし,좋아요,Bom,Tốt,Bagus,好,不錯
Great,Great,Genial,Génial,Großartig,Здорово,すばらしい,잘했어요,Ótimo,Rất tốt,Bagus sekali,很好,優秀
Awesome,Awesome,Impresionante,Impressionnant,Toll,Потрясающие,驚いた,대단해요,Impressionante,Tuyệt vời,Mengagumkan,非常好,讚
Wonderful,Wonderful,Extraordinario,Formidable,Wunderbar,Замечательно,いいね,멋져요,Maravilhoso,Rất tuyệt vời,Hebat,太棒了,美妙
Marvellous,Marvellous,Maravilloso,Merveilleux,Herrlich,Чудесно,すてき,굉장해요,Magnífico,Rất kỳ diệu,Menakjubkan,不可思议,了不起
Perfect,Perfect,Perfecto,Parfait,Perfekt,Идеально,完璧,완벽해요,Perfeito,Hoàn hảo,Sempurna,完美,完美
Incredible,Incredible,Increíble,Incroyable,Unglaublich,Невероятно,すごい,말도 안 돼요,Incrível,Không tin được!,Luar biasa,难以置信,不可思議
Fantastic,Fantastic,Fantástico,Fantastique,Fantastisch,Фантастика,非常にすばらしい,환상적이에요,Fantástico,Rất hay!,Fantastis,了不起,超棒
Amazing,Amazing,Fascinante,Incroyable,Umwerfend,Удивительно,大したもの,놀라워요,Surpreendente,Tuyệt vời,Memukau,令人惊异,太驚人了
Outstanding,Outstanding,Espectacular,Exceptionnel,Ausgezeichnet,Незаурядно,優秀,특별해요,Excepcional,Quá tuyệt,Hebat sekali,优秀,非常出色
Excellent,Excellent,Excelente,Excellent,Hervorragend,Превосходно,最高,훌륭해요,Excelente,Siêu quá!,Istimewa,卓越,極佳
Exciting,Exciting,Apasionante,Passionnant,Aufregend,Захватывающе,エキサイティング,신나요,Emocionante,Rất thú vị,Mengasyikkan,令人兴奋,精彩
Brilliant,Brilliant,Brillante,Brillant,Genial,Блестяще,見事,뛰어나요,Genial,Hay vãi!,Brilian,杰出,太厲害了
LETS_GO,LET'S GO,VAMOS,ALLONS-Y,LOS GEHT'S,ПОГНАЛИ,さあ行こう,시작,VAMOS LÁ,BẮT ĐẦU,AYO,开始吧,開始吧
InitLoading,Use headphone for the best experience,Usa auriculares para obtener la mejor experiencia,Utilisez un casque pour une meilleure expérience,Mit Kopfhörern haben Sie das beste Erlebnis,Используй наушники для более приятной игры,ヘッドフォンを使うと最高です,헤드폰을 사용해 최고의 경험을 누려보세요,Use fones de ouvido para ter a melhor experiência,Sử dụng tai nghe để có trải nghiệm tốt nhất,Gunakan headphone untuk pengalaman terbaik,使用耳机以获得最好体验,使用耳機以獲得最佳體驗
MISTERY_DES_0,Don't lose your good luck!,¡No pierdas tu buena suerte!,Ne perdez pas la main !,Verlieren Sie Ihre Glückssträhne nicht!,Не теряй свою удачу!,幸運を逃さないで！,행운을 놓치지 마세요!,Não perca sua boa sorte!,Đừng bỏ lỡ vận may,Jangan kehilangan keberuntungan Anda!,不要浪费你的好运气！,別錯過好運！
Claim,Claim,Reclamar,Demander,In Anspruch nehmen,Запрос,獲得する,신청,Resgatar,Nhận,Ambil,认领,取得
Claimed,Claimed,Reclamado,Demandé,In Anspruch genommen,Запрошено,請求済み,신청함,Resgatado,Đã nhận,Diambil,已认领,已取得
ACHIEVEMENT_UNLOCKED,ACHIEVEMENTS UNLOCKED,LOGROS DESBLOQUEADOS,ACCOMPLISSEMENTS DÉVERROUILLÉES,ERRUNGENSCHAFTEN FREIGESCHALTET,ДОСТИЖЕНИЯ РАЗБЛОКИРОВАНЫ,実績がアンロックされました,업적이 잠금 해제되었습니다,CONQUISTAS DESBLOQUEADAS,DANH HIỆU ĐÃ ĐẠT,PENCAPAIAN DIBUKA,成绩已解锁,已解鎖成就
UnlockNewBall,Unlock new ball,Desbloquear nueva bola,Débloquer une nouvelle balle,Schalten Sie einen neuen Ball frei,Разблокируй новый шар,新しいボールをアンロック,새 공 열기,Desbloquear nova bola,Mở mẫu bóng mới,Buka bola baru,解锁新球,解鎖新的球
UnlockNewRoad,Unlock new road,Desbloquear nueva carretera,Débloquer une nouvelle route,Schalten Sie eine neue Strecke frei,Открой новую дорогу,新しい道をアンロック,새로운 길 열기,Desbloquear nova estrada,Mở mẫu đường mới,Buka jalan baru,解锁新路径,解鎖新的道路
Selected,Selected,Seleccionado,Sélectionné,Ausgewählt,Выбрано,選択済み,선택함,Selecionado,Đã chọn,Dipilih,已选择,已選擇
Select,Select,Seleccionar,Sélectionner,Auswählen,Выбрать,選択する,선택,Selecionar,Chọn,Pilih,选择,選擇
Golds,Coins,Monedas,Pièces,Münzen,Монеты,コイン,코인,Moedas,Vàng,Koin,钱币,金幣
Diamonds,Diamonds,Diamantes,Diamants,Diamanten,Алмазы,ダイヤモンド,다이아몬드,Diamantes,Kim cương,Berlian,钻石,鑽石
Lives,Lives,Vidas,Vies,Leben,Жизни,ライフ,라이브,Vidas,Mạng,Nyawa,直播,生命值
CONGRATULATIONS,CONGRATULATIONS!,¡ENHORABUENA!,FÉLICITATIONS !,HERZLICHEN GLÜCKWUNSCH!,ПОЗДРАВЛЯЕМ!,おめでとうございます！,축하합니다!,PARABÉNS!,XIN CHÚC MỪNG,SELAMAT!,恭喜！,恭喜！
ReceiveCurrencyDes,You have received,Has recibido,Vous avez reçu,Sie haben Folgendes erhalten:,Ты получил,受け取ったもの,받았습니다,Você recebeu,Bạn đã nhận,Anda telah menerima,你已得到,您獲得了
NewUnlock,New Unlock!,¡Nuevo desbloqueo!,Nouvel élément déverrouillé !,Etwas Neues wurde freigeschaltet!,Новую разблокировку!,新しいアンロック！,새로 열기!,Novo desbloqueio!,Mở bài hát mới!,Yang Baru Dibuka!,新的解锁！,新的解鎖內容！
BestScore,Best Score,Mejor puntuación,Meilleur score,Höchste Punktzahl,Лучший счет,ベストスコア,최고 점수,Melhor pontuação,Điểm cao nhất,Skor Tertinggi,最佳得分,最佳分數
DIAMOND,DIAMOND,DIAMANTE,DIAMANT,DIAMANT,АЛМАЗ,ダイヤモンド,다이아몬드,DIAMANTE,KIM CƯƠNG,BERLIAN,钻石,鑽石
BONUS,BONUS,BONIFICACIÓN,BONUS,BONUS,БОНУС,ボーナス,보너스,BÔNUS,THƯỞNG,BONUS,奖金,額外獎勵
GOLDS,COINS,MONEDAS,PIÈCES,MÜNZEN,МОНЕТЫ,コイン,코인,MOEDAS,VÀNG,KOIN,钱币,金幣
GOLD,COIN,MONEDA,PIÈCE,MÜNZE,МОНЕТА,コイン,코인,MOEDA,VÀNG,KOIN,钱币,金幣
LIVE,LIVES,VIDAS,VIES,LEBEN,ЖИЗНИ,ライフ,라이브,VIDAS,MẠNG,NYAWA,直播,生命值
NEW,NEW,NUEVO,NOUVEAU,NEU,НОВОЕ,新しい,신규,NOVO,MỚI,BARU,新,全新
FacebookConnect,Login to save your data and see ranking,Inicia sesión para guardar tus datos y ver la clasificación,Connectez-vous pour sauvegarder vos données et voir le classement,"Melden Sie sich an, um Ihre Daten zu speichern und die Rangliste zu sehen","Войди, чтобы сохранить свои данные и увидеть рейтинг",データを保存して ランキングを見るには ログインしてください,로그인하여 데이터 저장 및 순위 확인,Acesse sua conta para salvar seus dados e ver a classificação,Đăng nhập để lưu dữ liệu và bảng xếp hạng,Login untuk menyimpan data dan melihat peringkat Anda,登录以保存你的数据并查看排名,登入以儲存您的資訊並查看排行榜
RATE_US_TEXT_1,Do you enjoy our game?,¿Te gusta nuestro juego?,Aimez-vous notre jeu ?,Macht Ihnen unser Spiel Spaß?,Тебе нравится наша игра?,ゲームを楽しんでいますか？,게임이 즐거우신가요?,Você gosta do nosso jogo?,Bạn thích trò chơi này chứ?,Anda menikmati permainan kami?,你喜欢我们的游戏吗？,喜歡我們的遊戲嗎？
RATE_US_TEXT_2,Please leave a review.,Deja una opinión.,Merci de nous laisser un commentaire.,Bitte schreiben Sie eine Bewertung.,"Пожалуйста, оставь отзыв.",レビューを残してください,그렇다면 리뷰를 남겨주세요.,"Por favor, faça uma avaliação.",Hãy để lại phản hồi cho chúng tôi,Mohon beri ulasan.,请评论。,請為我們留下評論。
RATE_NOW,RATE NOW,VALORAR AHORA,ÉVALUER MAINTENANT,JETZT BEWERTEN,ОЦЕНИТЬ СЕЙЧАС,今すぐ評価する,지금 평가 남기기,AVALIAR AGORA,ĐÁNH GIÁ,NILAI SEKARANG,现在打分,立即評分
RATE_LATER,LATER,DESPUÉS,PLUS TARD,SPÄTER,ПОТОМ,後で,나중에,DEPOIS,ĐỂ SAU,NANTI,稍后,晚點再說
DONT_ASK,DON'T ASK AGAIN,NO PREGUNTAR MÁS,NE PLUS DEMANDER,NICHT NOCHMAL FRAGEN,БОЛЬШЕ НЕ СПРАШИВАТЬ,もう聞かないで,다시 보지 않기,NÃO PERGUNTAR NOVAMENTE,KHÔNG HỎI LẠI,JANGAN TANYA LAGI,不再询问,別再問了
EASY,Easy,Fácil,Facile,Leicht,Легкий,簡単,쉬움,Fácil,Dễ,Mudah,简单,簡單
NORMAL,Normal,Normal,Normal,Normal,Нормальный,普通,보통,Normal,Bình thường,Normal,适中,一般
HARD,Hard,Difícil,Difficile,Schwer,Сложный,難しい,어려움,Difícil,Khó,Sulit,困难,困難
CHALLENGING,Challenging,Desafiante,Exigeant,Anspruchsvoll,Испытывающий,チャレンジ,도전,Desafiador,Thách thức,Menantang,有挑战,挑戰
EXTREME,Extreme,Extremo,Extrême,Extrem,Экстремальный,極限,극한,Extremo,Cực khó,Ekstrem,很有挑战,極限
CRAZY,Crazy,Alocado,Fou,Verrückt,Безумный,クレイジー,고수,Louco,Phát điên,Gila,非常有挑战,瘋狂
INSANE,Insane,Demencial,Dingue,Wahnsinnig,Ненормальный,発狂,달인,Insano,Sắp phát điên,Tak wajar,疯狂,狂飆
IMPOSSIBLE,Impossible,Imposible,Impossible,Unmöglich,Невозможный,不可能,불가능,Impossível,Không thể,Mustahil,不可能,不給活路
DOWNLOAD_ERROR,"Failed to download the data, please check your connection!","Error al descargar los datos, ¡revisa tu conexión!","Échec du téléchargement des données, veuillez vérifier votre connexion !","Die Daten konnten nicht heruntergeladen werden, bitte prüfen Sie Ihre Verbindung!","Не удалось загрузить данные, пожалуйста, проверь подключение!",データのダウンロードに失敗しました。接続を確認してください！,데이터를 다운로드하지 못했어요. 연결 상태를 확인해 주세요!,"Não foi possível baixar os dados. Por favor, verifique sua conexão!",Lỗi khi tải dữ liệu. Vui lòng kiểm tra kết nối mạng,"Gagal mengunduh data, harap periksa koneksi Anda!",下载数据失败，请检查你的连接！,無法下載數據，請檢查您的連線！
OpenNow,Open Now,Abrir ahora,Ouvrir maintenant,Jetzt öffnen,Открой сейчас,営業中,지금 열기,Abrir agora,Mở ngay!,Buka Sekarang,现在打开,立即開啟
ACHIEVEMENTS,ACHIEVEMENTS,LOGROS,ACCOMPLISSEMENTS,ERRUNGENSCHAFTEN,ДОСТИЖЕНИЯ,実績,업적,CONQUISTAS,DANH HiỆU,PENCAPAIAN,成绩,成就
Global,Global,Global,Général,Weltweit,Глобальное,グローバル,전 세계,Global,Thế giới,Global,全球,全球
Friend,Friend,Amigo,Ami,Freund,Друг,友だち,친구,Amigos,Bạn bè,Teman,好友,好友
GLOBAL_SALES,GLOBAL SALES,VENTAS GLOBALES,VENTES MONDIALES,WELTWEITE VERKÄUFE,ГЛОБАЛЬНЫЕ ПРОДАЖИ,グローバルセール,전 세계에 판매,VENDAS GLOBAIS,KHUYẾN MÃI,PENJUALAN GLOBAL,全球销量,全球折扣
SPECIAL_OFFERS,SPECIAL OFFERS,OFERTAS ESPECIALES,OFFRES SPÉCIALES,SONDERANGEBOTE,СПЕЦИАЛЬНЫЕ ПРЕДЛОЖЕНИЯ,特別割引,특별 할인,OFERTAS ESPECIAIS,KHUYẾN MÃI ĐẶC BiỆT,PENAWARAN ISTIMEWA,特别优惠,特殊優惠
VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP,VIP
LIVE24H,Infinite Lives,Vidas infinitas,Vies infinies,Unendliche Leben,Бесконечные жизни,無限のライフ,무한 라이브,Vidas infinitas,Không giới hạn mạng,Nyawa Tak Terhingga,无限直播,無限生命
Song,Song,Canción,Morceau,Song,Песня,曲,노래,Música,Bài hát,Lagu,歌曲,歌曲
Ball,Ball,Bola,Balle,Ball,Шар,ボール,공,Bola,Bóng,Bola,球,球
Road,Road,Carretera,Route,Strecke,Дорога,道,로드,Estrada,Đường,Jalan,路径,道路
NEED_UPDATE_1,WE ARE IMPROVED!,¡HEMOS MEJORADO!,NOUS AVONS APPORTÉ DES AMÉLIORATIONS !,WIR HABEN UNS VERBESSERT!,ИГРА УЛУЧШЕНА!,改良しました！,개선 사항이 있습니다!,NÓS MELHORAMOS!,CHÚNG TÔI ĐÃ NÂNG CẤP,KAMI TELAH MENJADI LEBIH BAIK!,我们进步了！,我們變得更好了！
NEED_UPDATE_2,We've fixed bugs and added new contents that will improve your experience!,¡Hemos arreglado errores y añadido nuevo contenido para mejorar tu experiencia!,Nous avons corrigé des bugs et ajouté de nouveaux contenus qui amélioreront votre expérience !,"Wir haben Fehler behoben und neue Inhalte hinzugefügt, die Ihr Spielerlebnis verbessern werden!","Мы исправили ошибки и добавили новое содержимое, которое улучшит ваш игровой опыт!",バグを修正し、よりよい体験ができる新しいコンテンツを追加しました！,버그를 수정하고 사용자의 환경을 개선할 콘텐츠를 새로 추가했어요!,Corrigimos os erros e adicionamos novos conteúdos para melhorar sua experiência!,Chúng tôi đã sửa lỗi và nâng cấp để giúp bạn có trải nghiệm tốt hơn!,Kami telah memperbaiki bug dan menambahkan konten baru yang akan meningkatkan pengalaman Anda!,我们已经修复了故障，并添加了新的内容，你的体验会更好！,我們修正了錯誤並添加了新內容，讓您的體驗更加美好！
UPDATE_NOW,UPDATE NOW,ACTUALIZAR AHORA,METTRE À JOUR MAINTENANT,JETZT AKTUALISIEREN,ОБНОВИТЬ СЕЙЧАС,今すぐ更新,지금 업데이트,ATUALIZAR AGORA,NÂNG CẤP,PERBARUI SEKARANG,现在更新,立即更新
NewVersion,New Version,Nueva versión,Nouvelle version,Neue Version,Новая версия,新バージョン,새 버전,Nova versão,Phiên bản mới,Versi Baru,新版,新版本
UpdateNow,Update Now,Actualizar ahora,Mettre à jour,Jetzt aktualisieren,Обновить сейчас,今すぐ更新,지금 업데이트,Atualizar agora,Nâng cấp,Perbarui Sekarang,现在升级,立即更新
SupportUs,SUPPORT US!,¡Danos tu apoyo!,Soutenez-nous !,Unterstützen Sie uns!,Поддержи нас!,応援してください！,저희를 응원해 주세요!,Apoie-nos!,HỖ TRỢ CHÚNG TÔI,Dukung Kami!,支持我们！,支持我們！
RateNow,Rate Now,Valorar ahora,Évaluer maintenant,Jetzt bewerten,Оцени сейчас,今すぐ評価,지금 평가 남기기,Avalie agora,Đánh giá trò chơi,Nilai Sekarang,现在打分,立即評分
Day,Day,Día,Jour,Tag,День,日,일,Dia,Ngày,Hari,天,天
Days,Days,Días,Jours,Tage,Дни,日,일,Dias,Ngày,Hari,天,天
ScreenShotSubject,Share your new score,Comparte tu nueva puntuación,Partagez votre nouveau score,Teilen Sie Ihren neuen Punktestand,Поделитесь своим новым счетом,新スコアを共有する,새로운 점수 공유,Compartilhe sua nova pontuação,Chia sẻ kết quả của bạn,Bagikan skor Anda,分享你的新分数,分享您的新分數
ScreenShotText,Can you beat my score?,¿Puedes superar mi puntuación?,Peux-tu battre mon score ?,Können Sie meine Punktzahl schlagen?,Можешь ли ты побить мой счет?,私のスコアを上回れますか？,제 점수를 이길 수 있나요?,Você consegue superar minha pontuação?,Bạn có thể đánh bại tôi không?,Dapatkah Anda mengalahkan skor saya?,你能超过我的分数吗？,你能贏過我的分數嗎？
ChallengeStart,Get higher Scores for more Rewards!,¡Obtén mayores puntuaciones para obtener más recompensas!,Obtenez des scores plus élevés pour plus de récompenses !,Erreichen Sie mehr Punkte für mehr Belohnungen!,Получи больше очков за большое количество наград!,スコアを上げてもっと報酬をゲット！,더 높은 점수를 받고 더 많은 보상을 받아보세요!,Faça pontuações mais altas para receber mais recompensas!,Đạt điểm cao hơn để nhận quà nhiều hơn,Dapatkan Skor tertinggi untuk Hadiah lebih lanjut!,得到更高的分数，获得更多的奖励！,得到更高分數以獲得更多獎勵！
ChallengeWin,Congratulations! You win the Challenge!,¡Enhorabuena! ¡Has ganado el desafío!,Toutes nos félicitations ! Vous avez gagné le défi !,Herzlichen Glückwunsch! Sie haben die Herausforderung gewonnen!,Поздравляем! Ты выиграл задание!,おめでとうございます！挑戦に勝利しました！,축하합니다! 도전에서 승리하셨습니다!,Parabéns! Você ganhou o desafio!,Xin chúc mừng! Bạn đã chiến thắng thử thách!,Selamat! Anda memenangi Tantangan!,恭喜！你赢得了挑战！,恭喜！您贏得了挑戰！
START_NOW,START NOW,EMPEZAR AHORA,COMMENCER,JETZT STARTEN,НАЧНИ СЕЙЧАС,今すぐ開始,지금 시작하기,COMECE AGORA,Bắt đầu,MULAI SEKARANG,现在开始,立即開始
EndGameUnlockNewSong,You can unlock new songs!,¡Puedes desbloquear una nueva canción!,Vous pouvez débloquer un nouveau morceau !,Sie können neue Songs freischalten!,Ты можешь разблокировать новую песню!,新しい曲をアンロックできます！,새로운 노래를 열 수 있어요!,Você pode desbloquear uma nova música!,Bạn có thể mở bài hát mới!,Anda dapat membuka lagu baru!,你可以解锁新歌！,您可以解鎖新歌曲！
EndGameUnlockedSong,You unlocked a new song!,¡Has desbloqueado una nueva canción!,Vous avez débloqué un nouveau morceau !,You unlocked new song!,You unlocked new song!,新しい曲をアンロックしました！,새로운 노래를 열었습니다!,Você desbloqueou uma nova música!,Bạn đã mở được bài hát mới!,Anda telah membuka lagu baru!,你解锁了新歌！,您解鎖了新歌曲！
TryPlay_1,Tip !,¡Consejo!,Astuce !,Tipp!,Подсказка!,ヒント！,팁!,Dica!,Lưu ý!,Tip !,提示！,提示！
TryPlay_2,Get 3 stars to unlock this song forever!,¡Obtén 3 estrellas para desbloquear esta canción para siempre!,Obtenez 3 étoiles pour déverrouiller ce morceau pour toujours !,"Erreichen Sie 3 Sterne, um diesen Song für immer freizuschalten!","Получи 3 звезды, чтобы разблокировать эту песню навсегда!",星を3つゲットしこの曲を永遠にアンロック！,별 3개를 받아 이 노래를 평생 소장하세요!,Consiga 3 estrelas para desbloquear essa música para sempre!,Đạt 3 sao để mở khóa bài hát này vĩnh viễn,Dapatkan 3 bintang untuk membuka lagu ini selamanya!,得到 3 颗星可以永久解锁这首歌！,獲得 3 顆星以永久解鎖這首歌！
TryPlay_3,Congratulations!,¡Enhorabuena!,Félicitations !,Herzlichen Glückwunsch!,Поздравляем!,おめでとう！,축하합니다!,Parabéns!,Xin chúc mừng!,Selamat!,恭喜！,恭喜！
TryPlay_4,You unlocked this song!,¡Has desbloqueado esta canción!,Vous avez déverrouillé ce morceau !,Sie haben diesen Song freigeschaltet!,Ты разблокировал эту песню!,この曲をアンロックしました！,이 곡을 열었습니다!,Você desbloqueou essa música!,Bạn đã mở khóa bài hát này!,Anda telah membuka lagu ini!,你解锁了这首歌！,您解鎖了這首歌曲！
TryPlay_5,Collect Notes to unlock the full version or buy now,Reúne notas para desbloquear la versión completa o cómprala ahora,Recueillez des notes pour débloquer la version complète ou achetez-la maintenant,Collect Notes to unlock the full version or buy now,Collect Notes to unlock the full version or buy now,メモを集めてフルバージョンをアンロックするか今すぐ購入,노트를 수집하여 전체 버전을 열거나 지금 구매,Colete notas para desbloquear a versão completa ou compre agora,Sưu tầm Notes để mở khóa toàn bộ bài hát!,Kumpulkan Nada untuk membuka versi baru atau beli sekarang,收集音符可解锁完整版或现在购买,收集音符以解鎖完整版本或立即購買
TodayChallenge,Today's Challenge,Desafío de hoy,Défi du jour,Die heutige Herausforderung,Сегодняшнее задание,今日の挑戦,오늘의 도전,Desafio de hoje,Thử thách hôm nay,Tantangan Hari Ini,今日挑战,今日挑戰
DISK_FULL,Your disk is always full!,¡Tu disco siempre está lleno!,Votre disque est toujours plein !,Ihre Festplatte ist immer voll!,Твой диск всегда полон!,ディスクがいつもいっぱいです！,디스크는 늘 꽉 차 있죠!,Seu disco está sempre cheio!,Bộ nhớ đã đầy!,Cakram Anda selalu penuh!,你的磁盘总是满的！,您的硬碟總是滿的！
READ_ERROR,Problem while reading a file. Please try the download again!,Problema al leer un archivo. ¡Intenta descargar de nuevo!,Problème lors de la lecture d'un fichier. Veuillez réessayer le téléchargement !,Beim Lesen einer Datei ist ein Fehler aufgetreten. Bitte versuchen Sie den Download erneut!,"Проблема при чтении файла. Пожалуйста, попробуй загрузить снова!",ファイルの読み込み中に問題が発生しました。もう一度ダウンロードしてみてください！,파일을 읽는 동안 문제가 발생했어요. 다시 다운로드해보세요!,"Não foi possível ler o arquivo. Por favor, tente baixar novamente!",Có lỗi khi mở bài hát. Hãy thử tải lại bài hát lần nữa!,Terjadi masalah ketika membaca berkas. Silakan coba unduh lagi!,读取文件时出错。请再次尝试下载！,讀取檔案時出現問題。請重新嘗試下載！
BUY_NOW,BUY NOW,COMPRAR AHORA,ACHETER,BUY NOW,КУПИ СЕЙЧАС,今すぐ購入,지금 구매하기,COMPRE AGORA,MUA,BELI SEKARANG,现在购买,立即購買
EVENT_MUSIC,MUSIC EVENT,EVENTO MUSICAL,ÉVÉNEMENT MUSICAL,MUSIC EVENT,МУЗЫКАЛЬНОЕ СОБЫТИЕ,音楽イベント,음악 이벤트,EVENTO DE MÚSICA,SỰ KiỆN ÂM NHẠC,ACARA MUSIK,音乐活动,音樂活動
NoteEventEarn,You achieved a Music Event Reward,Has logrado una recompensa por evento musical,Vous avez obtenu la récompense de l'événement musical,You achieved Music Event Reward,Вы достигли награды Music Event,音楽イベントリワードを獲得しました,음악 이벤트 보상을 획득했습니다,Você conseguiu uma Recompensa de Evento de Música,Bạn đã nhận được phần thưởng của sự kiện,Anda telah meraih Hadiah Acara Musik,你获得了音乐活动奖励,您取得了音樂活動獎勵
NoteEventNothingEarn,Collect Notes from Songs and Mystery Boxes for special event Song and Gifts,"Reúne notas de canciones y cajas misteriosas para el evento especial ""Canciones y regalos""",Recueillez des notes de chansons et des boîtes mystères pour l'événement spécial Chansons et Cadeaux,Collect Notes from Songs and Mystery Boxes for special event Song and Gifts,Соберите Заметки из Песен и Загадочных шкатулок для специального мероприятия Песня и Подарки,特別なイベント、曲とギフトのために曲とミステリーボックスからメモを集める,노래와 미스터리 상자에서 스페셜 이벤트 곡과 선물을 위한 노트 수집하기,Colete notas de músicas e caixas misteriosas para receber músicas especiais de eventos e presentes,Sưu tập Notes từ bài hát và Hộp quà để mở bài hát Hit và nhận quà,Kumpulkan Nada dari Lagu dan Kotak Misteri untuk Lagu dan Hadiah acara khusus,收集歌曲和神秘盒的音符，获得特别的活动歌曲和礼物,收集歌曲中的音符和神祕箱以獲得特殊活動歌曲和禮物
Treasure,Treasure,Tesoro,Trésor,Treasure,сокровище,宝,보물,Tesouro,Vật phẩm,Harta Karun,宝藏,寶物
DayLeft,day left,Queda 1 día,jour restant,day left,оставшийся день,日残っています,일 남음,dia restante,Ngày còn lại,hari lagi,剩余天数,剩餘天數
DaysLeft,days left,Quedan X días,jours restants,days left,осталось дней,日残っています,일 남음,dias restantes,Ngày còn lại,hari lagi,剩余天数,剩餘天數
Notes,Notes,Notas,Notes,Notes,ноты,メモ,노트,Notas,Notes,Nada,音符,音符
notes,notes,notas,notes,notes,ноты,メモ,노트,notas,Notes,nada,音符,音符
YouHave,You have,Tienes,Vous avez,You have,У тебя есть,あなたが持っているもの,가지고 있습니다,Você tem,Bạn có,Anda telah,你有,您有
Credit_1,Exploring INWAVE's design,Explora el diseño de INWAVE,Explorer le design d'INWAVE,Exploring INWAVE's design,Изучение дизайна INWAVE,INWAVEのデザインを見てみる,INWAVE 디자인 살펴보기,Explore o design INWAVE,Trải nghiệm thiết kế của INWAVE,Jelajahi desain INWAVE,探索 INWAVE 的设计,探索 INWAVE 的設計
Credit_2,with AMANOTES' content,con el contenido de AMANOTES,avec le contenu d'AMANOTES,with AMANOTES' content,Изучение дизайна INWAVE…,AMANOTESのコンテンツと一緒に,AMANOTES의 콘텐츠와 함께,com conteúdo AMANOTES,với nội dung của AMANOTE,dengan konten AMANOTES,用 AMANOTES 团队创作的内容,和 AMANOTES 的內容
NewHit,New Hit,Nuevo éxito,Nouveau succès,New Hit,Новый хит,新しいヒット,새 인기곡,Novo hit,Hit mới,Hit Baru,新的灵感,新熱門歌曲
NoteEventTryDes,Join our event to unlock the full version right now!,¡Únete a nuestro evento para desbloquear ahora la versión completa!,Rejoignez notre événement pour déverrouiller la version complète dès maintenant !,Join our event to unlock the full version right now!,"Присоединяйтесь к нашему событию, чтобы разблокировать полную версию прямо сейчас!",イベントに参加して今すぐフルバージョンをアンロック！,이벤트에 참여하여 지금 바로 전체 버전을 만나보세요!,Participe do nosso evento para desbloquear a versão completa agora mesmo!,Tham gia sự kiện để mở phiên bản đầy của của bài Hit,Bergabunglah dengan acara kami untuk membuka versi baru sekarang!,现在加入我们的活动，解锁完整版！,參加我們的活動，立即解鎖完整版！
JOIN_EVENT,JOIN EVENT,UNIRSE AL EVENTO,REJOIGNEZ L'ÉVÉNEMENT,JOIN EVENT,СОБЫТИЕ,イベントに参加,이벤트 참여,JUNTE-SE AO EVENTO,THAM GIA,BERGABUNG DENGAN ACARA,加入活动,參加活動
